ACT,AGE,AGO,ANC,C,CEN,CIV,CLS,CRS,CU,DG,DLG,EN,FR,GOV,ID,MRQ,NFC,PLA,PSS,RISKY,SX,TV,USG,VN,VV
EDUCATION_FORMATION,4,4,5,T,109,Mr,1,CI-4P,1,CAPBON,Nabeul,ES,1,Nabeul,231481,FIAT,2,2,3,No,M,199BXA1A01X,VP,2,2
PROFESSIONS_MEDICALES,2,4,3,T,116,Mr,4,CI-4P,1,TUNIS NORD,El Menzah,ES,0,Tunis,656281,FORD,5,2,3,No,M,JA8NKR,VP,3,3
EDUCATION_FORMATION,4,6,5,T,111,Mr,1,CI-4P,1,SAHEL,Monastir,ES,1,Monastir,228081,CITROEN,2,2,2,No,M,S1HDZG,VP,1,1
RETRAITE,5,3,1,T,151,Mr,8,CI-4P,1,SAHEL,Sousse Riadh,ES,1,Sousse,1039282,CITROEN,2,2,3,No,M,DDHMV0D,VP,3,3
EMPLOYE,5,4,3,T,116,Mr,4,CI-4P,1,TUNIS NORD,El Menzah,ES,1,Tunis,124682,MINI,2,2,3,No,M,ME3102,VP,2,2
EMPLOYE,4,4,3,T,101,Mr,1,CI-4P,1,TUNIS CENTRE,El Ouerdia,ES,1,Tunis,200282,FIAT,2,2,3,No,M,178CYL1ANA2,VP,2,2
RETRAITE,6,3,4,T,130,Mme,1,CI-4P,1,TUNIS SUD,Ezzahra,ES,1,Ben Arous,171082,CITROEN,2,2,3,No,F,DDHMV0D,VP,3,3
RETRAITE,6,5,5,T,122,Mme,1,CI-4P,1,TUNIS SUD,El Mourouj,ES,1,Ben Arous,214282,VOLKSWAGEN,2,2,3,No,F,9N10D4,VP,2,2
EDUCATION_FORMATION,5,2,3,T,121,Mme,1,CI-4P,1,SUD,Gafsa Sud,ES,1,Gafsa,165882,NISSAN,2,2,3,No,F,FEAF15,VP,5,5
EDUCATION_FORMATION,5,6,2,T,180,Mr,4,CI-2P,1,CAPBON,Zaghouan,DI,1,Zaghouan,128082,PEUGEOT,2,2,3,No,M,AJ8HSL,VP,4,4
