ACT,AGE,AGO,ANC,C,CEN,CIV,CLS,CRS,CU,DG,DLG,EN,FR,GOV,ID,MRQ,NFC,PLA,PSS,RISKY,SX,TV,USG,VN,VV
RETRAITE,5,3,1,P,131,Mr,8,CI-4P,1,CAPBON,Hammamet,ES,0,Nabeul,899800,CITROEN,5,2,3,No,M,NC8FP01,VP,1,1
EDUCATION_FORMATION,4,6,2,T,116,Mme,1,CI-4P,1,TUNIS NORD,Mannouba,ES,0,Mannouba,218400,RENAULT,5,2,2,No,F,557KOC,VP,1,1
EMPLOYE,2,4,2,T,808,Mr,3,CI-4P,1,CAPBON,Ariana Ville,ES,0,Ariana,854400,VOLKSWAGEN,5,2,3,Yes,M,1K,VP,4,4
CHAUFFEUR,5,5,3,T,101,Mr,2,CI-4P,1,TUNIS CENTRE,Rades,DI,0,Ben Arous,618400,AUDI,5,2,3,No,M,8E,VP,2,2
RETRAITE,5,4,3,T,111,Mr,3,CI-4P,1,SAHEL,Ksibet El Mediouni,ES,1,Monastir,632600,RENAULT,2,2,3,No,M,LB270F,VP,2,2
EDUCATION_FORMATION,2,3,2,T,813,Mr,8,CI-4P,1,CAPBON,Oued Mliz,ES,1,Jendouba,826800,VOLKSWAGEN,2,2,3,No,M,1K,VP,4,4
EDUCATION_FORMATION,5,6,3,T,191,Mr,4,CI-4P,1,SAHEL,Moknine,ES,0,Monastir,156400,FIAT,5,2,2,No,M,176BQ55A,VP,1,1
EDUCATION_FORMATION,2,2,2,T,808,Entreprise,9,BREAK,1,CAPBON,Nabeul,ES,0,Nabeul,869600,FIAT,5,2,3,No,JP,225AXC1AXXH,VP,4,4
EMPLOYE,4,3,2,T,176,Mr,4,CI-4P,1,TUNIS CENTRE,La Soukra,DI,0,Ariana,596600,RENAULT,5,2,3,No,M,BT0A06,VP,3,3
PARAMEDICAL,3,6,5,T,103,Mme,1,CI-2P,1,SAHEL,Kairouan Sud,ES,0,Kairouan,243000,FIAT,5,2,2,No,F,176BQ53F,VP,1,1
PROFESSIONS_MEDICALES,2,4,3,T,109,Mme,1,CI-4P,1,CAPBON,Hammamet,ES,0,Nabeul,625600,VOLKSWAGEN,5,2,3,No,F,9N30D41,VP,2,2
PROFESSIONS_MEDICALES,2,4,3,T,193,Mr,3,CI-4P,1,NORD OUEST,Kasserine Nord,DI,0,Kasserine,768200,B.M.W.,5,2,4,No,M,PN1103,VP,3,3
AGRICULTURE,4,6,2,T,109,Mr,3,CAMIONNETTE,1,CAPBON,Dar Chaabane Elfehri,DI,0,Nabeul,818600,ISUZU,5,2,5,No,M,TFR54H,u1,2,2
ACTIVITES_COMMERCIALES,4,2,2,T,151,Mr,4,CI-4P,1,SAHEL,Kairouan Sud,ES,1,Kairouan,1005200,AUDI,2,2,4,Yes,M,8W2AEG,VP,6,6
EDUCATION_FORMATION,4,3,3,T,136,Mme,5,CI-2P,1,TUNIS NORD,Bizerte Nord,ES,0,Bizerte,593800,B.M.W.,5,2,4,No,F,KD11VERSION,VP,4,4
EMPLOYE,2,3,2,T,120,Mme,8,CI-4P,1,SUD,Houmet Essouk,ES,0,Medenine,1017400,HYUNDAI,5,2,3,No,F,A851CA,VP,3,3
ACTIVITES_COMMERCIALES,2,2,1,T,850,Mr,5,CI-5P,1,TUNIS CENTRE,Le Bardo,ES,1,Tunis,1045800,SEAT,2,2,2,Yes,M,KJ12B2,VP,5,5
EMPLOYE,4,6,2,P,121,Mr,1,CI-4P,1,SUD,Feriana,ES,0,Kasserine,522400,ISUZU,5,2,4,No,M,KBD270,u1,1,1
ACTIVITES_COMMERCIALES,3,4,3,T,191,Mr,4,CI-4P,1,SAHEL,Ksar Helal,ES,1,Monastir,600200,TOYOTA,5,2,5,No,M,KSP90LCHMRK,u1,4,4
EMPLOYE,3,2,2,T,151,Mr,8,CI-4P,1,SAHEL,Hammam Sousse,ES,1,Sousse,888200,RENAULT,2,2,3,No,M,5ROKOH,VP,4,4
RETRAITE,5,4,3,T,120,Mr,8,BREAK,1,SUD,Ajim,DI,0,Medenine,726000,CITROEN,5,2,3,No,M,GJ9HWC,VP,2,2
EMPLOYE,4,5,3,T,109,Mr,3,CI-4P,1,CAPBON,Dar Chaabane Elfehri,ES,0,Nabeul,761200,VOLKSWAGEN,5,2,2,No,M,9N,VP,2,2
METIERS_LEGAUX,5,3,3,T,103,Mr,1,BREAK,1,SAHEL,Sousse Ville,DI,1,Sousse,495800,NISSAN,2,2,3,Yes,M,FCAF15,VP,4,4
EDUCATION_FORMATION,4,3,3,T,128,Mr,1,CI-4P,1,TUNIS NORD,Le Bardo,ES,0,Tunis,211000,RENAULT,5,2,5,No,M,ABLCC3,VP,5,5
EMPLOYE,5,3,5,T,101,Mme,5,CI-4P,1,TUNIS CENTRE,Ezzahra,ES,1,Ben Arous,222200,B.M.W.,2,2,4,No,F,1A11,VP,3,3
RETRAITE,5,3,2,T,147,Mr,4,CI-4P,1,TUNIS NORD,Raoued,ES,0,Ariana,397400,RENAULT,5,2,3,No,M,LBW05,VP,2,2
EDUCATION_FORMATION,3,3,2,T,111,Mr,4,CI-4P,1,SAHEL,Monastir,ES,0,Monastir,414000,RENAULT,5,2,3,No,M,LBW05,VP,2,2
RETRAITE,5,4,2,T,180,Mr,1,CI-4P,1,CAPBON,Zaghouan,DI,1,Zaghouan,528800,DACIA,2,2,3,No,M,KSDEKJ,VP,2,2
RETRAITE,6,4,3,T,109,Mme,1,CI-4P,1,CAPBON,Beni Khiar,ES,0,Nabeul,512200,VOLKSWAGEN,5,2,4,No,F,1F,VP,4,4
PROFESSIONNEL_CONSULTANT_EXPERT,4,5,4,T,115,Mr,1,CI-4P,1,TUNIS CENTRE,El Menzah,DI,1,Tunis,476600,VOLKSWAGEN,2,2,3,No,M,1J,VP,2,2
RESIDENT_A_L'ETRANGER,2,3,3,T,187,Mr,4,CI-4P,1,SUD,Medenine Sud,DI,0,Medenine,819000,VOLKSWAGEN,5,2,3,No,M,3C,VP,2,2
ACTIVITES_COMMERCIALES,3,2,2,T,131,Mr,4,CI-4P,1,CAPBON,Hammamet,ES,1,Nabeul,406200,RENAULT,2,2,3,No,M,4SRLP4,VP,3,3
EDUCATION_FORMATION,3,3,3,T,101,Mme,2,CI-4P,1,TUNIS CENTRE,Hammam Chatt,ES,1,Ben Arous,785400,KIA,2,2,3,No,F,BNS4A5615,VP,2,2
EMPLOYE,2,2,1,T,111,Mme,8,CI-4P,2,SAHEL,Monastir,ES,1,Monastir,1074200,HYUNDAI,2,2,3,No,F,A851CA,VP,4,4
METIERS_LEGAUX,6,4,3,T,116,Mr,2,CI-4P,1,TUNIS NORD,Jedaida,ES,1,Mannouba,267000,CHEVROLET,2,2,3,No,M,TJ61D,VP,2,2
PROFESSIONS_MEDICALES,4,3,3,T,111,Mme,1,CI-4P,1,SAHEL,Monastir,ES,0,Monastir,286200,OPEL,5,2,3,No,F,OAHL48,VP,3,3
RESIDENT_A_L'ETRANGER,4,4,2,T,118,Mr,8,CI-4P,1,SAHEL,Sousse Ville,ES,0,Sousse,387600,B.M.W.,5,2,4,No,M,PF11BM,VP,4,4
EMPLOYE,3,5,4,T,801,Mme,2,CI-4P,1,TUNIS SUD,Rades,ES,1,Ben Arous,552000,PEUGEOT,2,2,2,No,F,2AHFX2,VP,1,1
EMPLOYE,3,3,3,T,168,Mr,5,CI-4P,4,CAPBON,Grombalia,ES,0,Nabeul,723200,PEUGEOT,5,2,2,No,M,2MHFVOD,VP,2,2
ARTISAN,4,6,4,T,135,Mr,2,CI-4P,1,TUNIS NORD,Bab Bhar,ES,0,Tunis,189200,PEUGEOT,5,2,2,No,M,20AC12,VP,1,1
EMPLOYE,2,3,2,T,151,Mr,9,CI-4P,1,SAHEL,Sousse Riadh,ES,1,Sousse,887200,RENAULT,2,2,3,No,M,LBVV05,VP,2,2
EDUCATION_FORMATION,4,3,3,T,109,Mme,6,BREAK,1,CAPBON,Nabeul,DI,1,Nabeul,718400,PEUGEOT,2,2,3,No,F,4E9HR8,VP,3,3
EDUCATION_FORMATION,4,5,3,T,101,Mr,2,CI-4P,1,TUNIS CENTRE,Fouchana,ES,1,Ben Arous,209800,OPEL,2,2,3,No,M,TGF48X12XE,VP,2,2
OUVRIER,1,4,2,T,179,Mr,8,CI-4P,1,SUD,Sidi Aich,ES,0,Gafsa,1028400,RENAULT,5,2,3,Yes,M,LBVV05,VP,2,2
EMPLOYE,4,2,2,T,115,Mme,3,CI-2P,1,TUNIS CENTRE,Ariana Ville,ES,1,Ariana,254200,TOYOTA,2,2,2,No,F,KGB40LAHMGK,VP,4,4
EDUCATION_FORMATION,3,6,2,T,126,Mr,6,CI-4P,1,NORD OUEST,Nebeur,ES,0,Kef,1063600,PEUGEOT,5,2,2,Yes,M,2AHFX2,VP,2,2
EMPLOYE,5,4,2,T,118,Mr,2,CI-4P,1,SAHEL,Sousse Jaouhara,ES,1,Sousse,181800,MERCEDES-BENZ,2,2,4,No,M,204,VP,4,4
PROFESSIONS_MEDICALES,1,3,3,T,129,Mme,2,CI-4P,1,SFAX,Sakiet Ezzit,ES,1,Sfax,664600,FIAT,2,2,3,No,F,199BXB1A03C,VP,2,2
PROFESSIONS_MEDICALES,2,4,1,T,101,Mme,8,BREAK,2,TUNIS CENTRE,Carthage,DI,1,Tunis,1070000,NISSAN,2,3,5,Yes,F,TG4E25,VP,2,2
PROFESSIONS_MEDICALES,2,2,1,T,173,Mr,8,CI-4P,1,TUNIS SUD,La Soukra,ES,1,Ariana,855200,KIA,2,2,3,No,M,IHS6K3615,VP,4,4
RETRAITE,6,2,1,T,112,Mr,8,CI-4P,1,TUNIS CENTRE,El Omrane,ES,1,Tunis,131400,RENAULT,2,2,2,No,M,5RSN0A,VP,3,3
EDUCATION_FORMATION,4,2,1,T,144,Mme,8,CI-4P,1,SAHEL,Teboulba,ES,1,Monastir,873400,VOLKSWAGEN,2,2,2,No,F,6C12B1,VP,3,3
RETRAITE,6,6,1,T,191,Mme,6,CI-4P,1,SAHEL,Ksar Helal,DI,1,Monastir,841000,PEUGEOT,2,2,4,No,F,4BD9B2,VP,1,1
EMPLOYE,3,2,2,T,102,Mme,1,CI-4P,1,TUNIS NORD,Bizerte Nord,ES,0,Bizerte,875000,SSANGYONG,5,2,4,No,F,XKBM2WD,VP,5,5
PROFESSIONS_MEDICALES,2,2,1,T,151,Mme,8,CI-4P,1,SAHEL,Kairouan Sud,ES,1,Kairouan,1152800,KIA,2,2,3,Yes,F,H8S6K7615,VP,5,5
ACTIVITES_COMMERCIALES,3,3,2,T,181,Mr,2,CI-4P,1,SAHEL,Sidi Bouzid Ouest,ES,1,Sidi Bouzid,683400,VOLKSWAGEN,5,2,4,No,M,PJ5C6,VP,5,5
EMPLOYE,4,5,3,T,181,Mr,1,CI-4P,1,SAHEL,Sidi Bouzid Ouest,DI,0,Sidi Bouzid,212200,PEUGEOT,5,2,3,Yes,M,5FWJYF,VP,2,2
ACTIVITES_COMMERCIALES,8,4,2,T,119,Entreprise,4,CI-4P,1,TUNIS SUD,Nouvelle Medina,DI,0,Ben Arous,748800,PEUGEOT,5,2,3,No,JP,6D9HYB,VP,2,2
RESIDENT_A_L'ETRANGER,5,4,3,T,120,Mr,8,BREAK,1,SUD,Ajim,DI,0,Medenine,803000,TOYOTA,5,2,4,No,M,BA31V3,VP,4,4
EMPLOYE,2,3,2,T,112,Mr,4,CI-4P,1,TUNIS CENTRE,Cite El Khadra,ES,1,Tunis,752800,VOLKSWAGEN,2,2,4,No,M,3C20A1,VP,4,4
RETRAITE,6,4,1,T,119,Mr,4,CI-4P,3,TUNIS SUD,El Kabbaria,DI,0,Tunis,1078200,VOLKSWAGEN,5,2,3,Yes,M,5K122S,VP,4,4
RETRAITE,6,3,3,T,111,Mr,1,BREAK,1,SAHEL,Ksibet El Mediouni,DI,1,Monastir,123000,CITROEN,2,2,3,No,M,7J9HL0,VP,3,3
EDUCATION_FORMATION,4,3,3,T,128,Mme,4,CI-4P,1,TUNIS NORD,El Omrane Superieur,ES,1,Tunis,747401,VOLKSWAGEN,2,2,3,No,F,6R12C4,VP,3,3
EMPLOYE,4,4,3,T,111,Mr,2,CI-4P,1,SAHEL,Monastir,ES,1,Monastir,640001,KIA,2,2,3,No,M,BNS4A5615,VP,2,2
PROFESSIONS_MEDICALES,3,3,3,T,138,Mme,1,CI-4P,1,TUNIS NORD,La Marsa,ES,0,Tunis,579801,RENAULT,5,2,2,No,F,BB8105,VP,3,3
EDUCATION_FORMATION,4,4,3,T,101,Mr,1,CI-4P,1,TUNIS CENTRE,Nouvelle Medina,ES,1,Ben Arous,496401,VOLKSWAGEN,2,2,3,No,M,1K,VP,4,4
INGENIEUR,3,3,1,P,188,Entreprise,3,FOURGON,1,CAPBON,Bab Bhar,DI,0,Tunis,874601,PEUGEOT,5,2,3,No,JP,7B9HTC,u1,2,2
ACTIVITES_COMMERCIALES,4,5,2,T,188,Mr,5,CI-4P,1,CAPBON,Korba,ES,1,Nabeul,397601,RENAULT,5,2,6,No,M,TAS6K3615,VP,4,4
EMPLOYE,4,2,3,T,130,Mr,5,CI-4P,1,TUNIS SUD,Soliman,ES,1,Nabeul,681201,KIA,2,2,3,No,M,IHS4K3615,VP,4,4
ACTIVITES_COMMERCIALES,2,3,2,T,188,Entreprise,2,FOURGON,1,CAPBON,Beni Khalled,DI,0,Nabeul,749201,PEUGEOT,5,2,3,No,JP,7A9HKC,u1,3,3
EDUCATION_FORMATION,3,5,1,T,101,Mme,2,CI-4P,1,TUNIS CENTRE,Ezzahra,DI,1,Ben Arous,485001,RENAULT,2,2,3,No,F,LMOFC5,VP,3,3
EDUCATION_FORMATION,4,3,3,T,131,Mme,4,CI-4P,1,CAPBON,Hammamet,DI,0,Nabeul,691601,HYUNDAI,5,2,3,No,F,JU81UA,VP,4,4
PROFESSIONS_MEDICALES,2,3,2,T,115,Mme,3,CI-4P,1,TUNIS CENTRE,Ariana Ville,ES,1,Ariana,898601,CHEVROLET,2,2,3,No,F,TJ5CD,VP,2,2
EDUCATION_FORMATION,2,3,2,T,118,Mme,4,CI-4P,1,SAHEL,Zeramdine,ES,1,Monastir,843601,RENAULT,2,2,3,No,F,BR1SOH,VP,3,3
RESIDENT_A_L'ETRANGER,3,2,2,T,109,Mme,8,CI-4P,1,CAPBON,Nabeul,ES,0,Nabeul,907401,PEUGEOT,5,2,3,No,F,CCHMW0D,VP,4,4
EDUCATION_FORMATION,3,6,1,T,191,Mme,9,CI-4P,1,SAHEL,Moknine,ES,1,Monastir,878401,OPEL,2,2,2,No,F,CB7468NB,VP,1,1
RETRAITE,7,6,3,T,120,Mr,1,CI-4P,1,SUD,Ajim,DI,1,Medenine,397401,FORD,5,2,3,No,M,BAP,VP,2,2
RETRAITE,4,3,5,T,109,Mr,1,BREAK,1,CAPBON,Korba,DI,1,Nabeul,137601,CITROEN,2,2,3,Yes,M,7J9HNO1,VP,4,4
PROFESSIONS_MEDICALES,2,5,3,T,138,Mr,3,CI-2P,1,TUNIS NORD,Ariana Ville,ES,1,Ariana,618801,SUZUKI,2,2,3,No,M,FJ,VP,3,3
EDUCATION_FORMATION,2,4,3,T,188,Mr,3,CI-4P,1,CAPBON,Korba,ES,1,Nabeul,716401,VOLKSWAGEN,2,2,2,No,M,9N10B4,VP,2,2
EMPLOYE,3,3,3,T,128,Mr,2,CI-4P,1,TUNIS NORD,Le Bardo,ES,1,Tunis,635401,KIA,2,2,3,No,M,IHS4K3615,VP,4,4
EDUCATION_FORMATION,3,4,4,T,109,Mr,1,CI-4P,1,CAPBON,Nabeul,ES,1,Nabeul,550201,VOLKSWAGEN,2,2,4,No,M,3A11BA,VP,5,5
CORPS_ACTIFS,4,5,3,T,116,Mr,1,CI-4P,1,TUNIS NORD,Bou Arada,ES,1,Siliana,601001,VOLKSWAGEN,2,2,2,No,M,6N10H5,VP,1,1
PROFESSIONS_MEDICALES,2,3,1,T,191,Mme,8,CI-4P,1,SAHEL,Ksibet El Mediouni,ES,0,Monastir,894401,HYUNDAI,5,2,3,No,F,AB51CA,VP,3,3
EMPLOYE,4,5,3,T,197,Mme,6,CI-4P,1,TUNIS CENTRE,Le Bardo,ES,1,Tunis,650001,VOLKSWAGEN,5,2,4,No,F,DB3AW,VP,5,5
EMPLOYE,5,4,3,T,103,Mme,1,CI-4P,1,SAHEL,Sousse Ville,ES,0,Sousse,153801,FIAT,5,2,2,No,F,178BYM1ASS,VP,2,2
PROFESSIONS_MEDICALES,0,3,2,T,143,Mr,8,BREAK,1,TUNIS SUD,El Kabbaria,DI,1,Tunis,854801,VOLKSWAGEN,2,2,5,No,M,5N,VP,4,4
ARCHITECTURE_BTP_IMMOBILIER,8,3,1,T,807,Entreprise,5,CAMIONNETTE,1,SAHEL,Sousse Riadh,DI,1,Sousse,860401,CITROEN,2,2,4,No,JP,XUAHZ8,u1,3,3
PROFESSIONS_MEDICALES,2,4,2,T,116,Mr,4,CI-4P,1,TUNIS NORD,El Omrane Superieur,ES,1,Tunis,857601,FIAT,2,2,2,No,M,178BYM1ASS,VP,2,2
INGENIEUR,4,4,3,T,101,Mr,2,CI-4P,1,TUNIS CENTRE,Jebel Jelloud,DI,1,Tunis,678201,VOLKSWAGEN,2,2,3,No,M,3C2011,VP,4,4
EMPLOYE,4,4,3,T,109,Mr,2,CI-4P,1,CAPBON,Nabeul,ES,1,Nabeul,506401,VOLKSWAGEN,2,2,3,No,M,9N30W4,VP,2,2
EMPLOYE,4,3,5,T,101,Mr,1,CI-4P,5,TUNIS CENTRE,Nouvelle Medina,ES,1,Ben Arous,200801,PEUGEOT,2,2,3,No,M,DDHMV0,VP,3,3
EDUCATION_FORMATION,4,4,5,T,114,Mr,2,CI-4P,1,NORD OUEST,Bou Mhel El Bassatine,ES,1,Ben Arous,210801,FIAT,2,2,3,No,M,178CYL1AANA,VP,1,1
RETRAITE,5,3,2,T,109,Mr,2,CAMIONNETTE,1,CAPBON,El Menzah,DI,1,Tunis,250001,SSANGYONG,2,2,4,No,M,QJVERSIONBM,u1,3,3
EMPLOYE,4,6,5,T,113,Mr,2,CI-2P,1,TUNIS CENTRE,Sfax Ville,ES,1,Sfax,213001,VOLKSWAGEN,2,2,3,No,M,86C-AAU2A,VP,1,1
INGENIEUR,2,3,1,T,194,Mr,8,CI-4P,3,NORD OUEST,El Ayoun,DI,0,Kasserine,1089201,AUDI,5,2,5,No,M,B8,VP,6,6
PROFESSIONS_MEDICALES,4,3,4,T,130,Mr,1,CI-4P,1,TUNIS SUD,Hammam Lif,ES,1,Ben Arous,276201,FIAT,2,2,3,No,M,199BXA1A01X,VP,2,2
ACTIVITES_FINACIAIRES_ET_BANCAIRES,4,4,5,T,132,Mr,2,CI-4P,1,SAHEL,Sahline,ES,1,Monastir,130601,VOLKSWAGEN,5,2,3,No,M,1K,VP,2,2
INGENIEUR,3,2,2,T,111,Mme,8,BREAK,1,SAHEL,Monastir,ES,1,Monastir,534001,KIA,2,2,4,No,F,F1W5D2A1F,VP,6,6
INGENIEUR,3,5,3,T,113,Mr,1,CI-4P,1,TUNIS CENTRE,El Omrane Superieur,ES,0,Tunis,602001,RENAULT,5,2,4,No,M,BGOA05,VP,3,3
DIRECTEUR,5,2,2,T,113,Mme,8,CI-4P,1,TUNIS CENTRE,Mornag,ES,1,Ben Arous,1008801,GREATWALL,2,2,3,No,F,MASMD2PBE1M,VP,4,4
TAXI_LOUAGE_TRASPORT_RURAL,3,2,1,T,850,Mr,3,BREAK,2,TUNIS CENTRE,Gafsa Sud,DI,1,Gafsa,1106401,TOYOTA,2,3,4,Yes,M,KDH202L-RDM,louage,5,5
RETRAITE,5,6,5,T,101,Mr,1,CI-4P,1,TUNIS CENTRE,El Omrane Superieur,DI,1,Tunis,165201,VOLKSWAGEN,2,2,2,No,M,19E-JR2,VP,1,1
EMPLOYE,4,3,2,T,116,Mme,2,BREAK,1,TUNIS NORD,El Omrane Superieur,ES,1,Tunis,223201,PEUGEOT,2,2,3,No,F,CUHMW0D,VP,4,4
RETRAITE,6,6,4,T,124,Mr,3,CI-4P,1,SAHEL,Mahdia,ES,1,Mahdia,541001,VOLKSWAGEN,2,2,3,No,M,LBVV05,VP,3,3
EDUCATION_FORMATION,4,6,5,T,124,Mr,1,CI-4P,1,SAHEL,Ksour Essaf,ES,1,Mahdia,224201,FORD,2,2,4,No,M,AFL,VP,1,1
RETRAITE,5,5,2,T,101,Mr,4,CI-4P,1,TUNIS CENTRE,El Omrane Superieur,ES,1,Tunis,302001,CITROEN,2,2,2,No,M,S1HFXP,VP,1,1
EMPLOYE,3,5,2,T,116,Mme,9,CI-4P,1,TUNIS NORD,Le Bardo,ES,1,Tunis,856601,FIAT,2,2,3,No,F,178CYL1ATS,VP,2,2
PROFESSIONS_MEDICALES,5,2,3,T,191,Mme,1,CI-4P,1,SAHEL,Ksar Helal,ES,0,Monastir,648001,MG,5,2,3,No,F,ZP11AB1PACM,VP,3,3
METIERS_LEGAUX,4,3,3,T,180,Mr,2,CI-4P,1,CAPBON,Borj El Amri,DI,0,Mannouba,589001,AUDI,5,2,4,No,M,B8,VP,4,1
ACTIVITES_COMMERCIALES,3,6,2,T,188,Mr,4,PLATEAU,1,CAPBON,Korba,DI,0,Nabeul,786601,FIAT,5,2,5,No,M,OM4035A,u1,1,1
AGRICULTURE,2,3,3,T,149,Mr,4,CI-4P,1,TUNIS SUD,Jediliane,ES,1,Kasserine,812001,CHEVROLET,2,2,3,No,M,TJ5CV,VP,3,3
RETRAITE,5,3,3,T,102,Mr,8,CI-4P,1,TUNIS NORD,Bizerte Nord,ES,1,Bizerte,779401,KIA,2,2,3,No,M,BNS4A5615,VP,2,2
EDUCATION_FORMATION,5,5,3,T,129,Mr,1,CI-4P,1,SFAX,Sfax Sud,ES,0,Sfax,174601,FORD,5,2,3,No,M,JH1UKR,VP,2,2
RETRAITE,5,3,5,T,101,Mr,1,CI-4P,1,TUNIS CENTRE,Carthage,ES,0,Tunis,209401,FIAT,5,2,2,No,M,199BXA1A01E,VP,2,2
RESIDENT_A_L'ETRANGER,5,1,2,T,103,Mr,5,CI-4P,1,SAHEL,Sousse Riadh,DI,1,Sousse,1021001,TOYOTA,2,2,4,No,M,GUN125LDNFM,u1,5,5
RESIDENT_A_L'ETRANGER,1,3,2,T,132,Mr,3,FOURGON,1,SAHEL,Sousse Riadh,DI,1,Sousse,849201,PEUGEOT,2,2,3,Yes,M,7F9HF0,u1,3,3
TECHNICIEN,2,6,4,T,130,Mme,1,CI-4P,1,TUNIS SUD,Grombalia,ES,1,Nabeul,511801,RENAULT,2,2,2,Yes,F,BBOAOF,VP,2,2
EMPLOYE,4,3,3,T,109,Mr,1,CI-4P,5,CAPBON,Menzel Temime,ES,1,Nabeul,136001,VOLKSWAGEN,2,2,3,No,M,1K,VP,3,3
EMPLOYE,5,3,1,T,151,Mr,8,CI-4P,1,SAHEL,Sousse Ville,ES,1,Sousse,1040801,RENAULT,2,2,3,No,M,LBVV05,VP,3,3
EDUCATION_FORMATION,3,4,2,T,111,Mme,1,CI-4P,1,SAHEL,Ksar Helal,ES,1,Monastir,537001,PEUGEOT,2,2,3,No,F,WCKKFUC,VP,2,2
EMPLOYE,4,2,1,T,137,Mme,8,CI-4P,1,TUNIS SUD,Ben Arous,ES,1,Ben Arous,598801,VOLKSWAGEN,2,2,2,No,F,6C12C1,VP,4,4
EMPLOYE,4,4,3,T,109,Mr,1,CI-4P,1,CAPBON,Bou Argoub,ES,1,Nabeul,631601,RENAULT,2,2,3,No,M,LB11CF,VP,2,2
RETRAITE,4,4,2,T,807,Mr,2,BREAK,1,SAHEL,Monastir,DI,0,Monastir,499201,NISSAN,5,2,4,No,M,CVND40,u1,2,2
RETRAITE,6,4,3,T,103,Mr,1,CI-4P,1,SAHEL,Sousse Ville,ES,1,Sousse,109001,VOLKSWAGEN,2,2,3,No,M,9N30VV4,VP,2,2
RETRAITE,5,4,3,T,111,Mr,1,CI-4P,1,SAHEL,Moknine,DI,1,Monastir,621801,RENAULT,2,2,4,No,M,BJRH06,VP,5,5
EDUCATION_FORMATION,5,2,4,T,138,Mme,3,CI-4P,1,TUNIS NORD,El Menzah,ES,1,Tunis,545001,CITROEN,2,2,3,No,F,DDHMV0D,VP,3,3
PROFESSIONS_MEDICALES,4,6,2,T,132,Mme,4,CI-4P,1,SAHEL,Msaken,DI,1,Sousse,907001,PEUGEOT,2,2,4,No,F,FJAN14,VP,1,1
EMPLOYE,4,5,2,T,128,Mr,2,CI-4P,1,TUNIS NORD,El Menzah,ES,1,Tunis,291201,VOLKSWAGEN,2,2,3,No,M,1J,VP,3,3
PROFESSIONS_MEDICALES,1,3,2,T,120,Mme,8,BREAK,1,SUD,Ajim,DI,0,Medenine,847401,TOYOTA,5,2,5,No,F,BH3FJ3,VP,6,6
EDUCATION_FORMATION,2,4,2,T,111,Mme,4,BREAK,1,SAHEL,Ksibet El Mediouni,DI,0,Monastir,841401,PEUGEOT,5,3,3,No,F,3H9HXC,VP,2,2
RETRAITE,5,3,2,T,109,Mr,1,CAMIONNETTE,1,CAPBON,Dar Chaabane Elfehri,DI,1,Nabeul,235201,PEUGEOT,2,2,4,No,M,GCWJYB,u1,2,2
PROFESSIONS_MEDICALES,0,3,2,T,101,Mme,4,CI-2P,1,TUNIS CENTRE,El Menzah,ES,1,Tunis,808601,FIAT,2,2,2,No,F,312AXA1A00S,VP,3,3
EMPLOYE,3,1,1,T,151,Mr,8,CI-4P,1,SAHEL,Sousse Jaouhara,ES,0,Sousse,1142801,KIA,5,2,3,Yes,M,H8S6K7615,VP,5,5
EMPLOYE,3,3,4,T,101,Mr,1,CI-4P,1,TUNIS CENTRE,Megrine,ES,1,Ben Arous,280001,KIA,2,2,3,No,M,BNS4A5615,VP,2,2
EMPLOYE,4,4,3,T,191,Mr,1,CI-4P,1,SAHEL,Monastir,ES,1,Monastir,178601,RENAULT,2,2,3,No,M,LBVV05,VP,2,2
PROFESSIONS_MEDICALES,2,3,2,T,111,Mr,3,CI-4P,1,SAHEL,Feriana,ES,0,Kasserine,847001,SEAT,5,2,3,No,M,5F12W2,VP,4,4
ARCHITECTURE_BTP_IMMOBILIER,4,4,3,T,116,Mme,1,CI-4P,1,TUNIS NORD,Le Bardo,ES,1,Tunis,218201,PEUGEOT,2,2,3,No,F,2BKFWA,VP,3,3
RETRAITE,5,7,5,T,102,Mr,1,CI-4P,1,TUNIS NORD,Bizerte Nord,ES,1,Bizerte,211401,VOLKSWAGEN,2,2,2,No,M,0,VP,1,1
EMPLOYE,4,3,3,T,101,Mr,4,CI-4P,1,TUNIS CENTRE,El Mourouj,ES,1,Ben Arous,356601,RENAULT,2,2,3,No,M,LBVV05,VP,2,2
EDUCATION_FORMATION,4,4,3,T,124,Mr,1,CI-4P,1,SAHEL,La Chebba,ES,1,Mahdia,185001,VOLKSWAGEN,2,2,3,No,M,1KM,VP,2,2
RETRAITE,5,5,2,T,118,Mme,4,CI-4P,5,SAHEL,Sousse Jaouhara,ES,1,Sousse,856201,PEUGEOT,2,2,2,No,F,2AHFX2,VP,2,2
RESIDENT_A_L'ETRANGER,2,2,1,T,132,Mr,8,BREAK,1,SAHEL,Msaken,ES,0,Sousse,1012402,KIA,5,3,6,No,M,PKDA54,VP,5,5
RETRAITE,6,3,5,T,141,Mr,1,CI-4P,1,TUNIS NORD,La Soukra,ES,0,Ariana,148802,PEUGEOT,5,2,3,No,M,DDHMV0,VP,3,3
CORPS_ACTIFS,4,4,5,T,130,Mr,1,CI-4P,1,TUNIS SUD,Soliman,ES,1,Nabeul,176602,VOLKSWAGEN,2,2,3,No,M,OAH248,VP,4,4
